Species	path	Ammon's horn	adipose tissue	adrenal tissue	adult mammalian kidney	brain	cerebellum	cerebral cortex	colon	embryo	female gonad	frontal cortex	gastrula	heart	intestine	kidney	liver	lung	mesonephros	multi-cellular organism	placenta	prefrontal cortex	prostate gland	skeletal muscle tissue	spleen	stomach	temporal lobe	testis	thoracic mammary gland	thyroid gland	zone of skin
bos_taurus	6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1				1.404499578096224e-07	0.0001973745066768413			2.2215155741611338e-07													6.098059808398547e-05			2.903725102114981e-08						
gorilla_gorilla	6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1				9.165135761013839e-08		6.349369965078658e-05					6.675075352634422e-05					5.959139406642777e-08					0.00012296350466053016						5.493083944288739e-08			
sus_scrofa	6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1																	1.037515566317019e-06				0.00011111510753914198									
ornithorhynchus_anatinus	6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1					4.8642127341935404e-05	0.00012231522258870028				3.6877312952514715e-07			1.200010564000275e-07																	
homo_sapiens	6_0,3_1,3_2,3_3,3_5,3_6,2_0,1_1			1.92051944499769e-07	6.161237302260498e-08	5.3526843705685735e-05	4.106972402613149e-05		7.893306941495733e-08		4.1387502862340606e-08	0.00042525564436649515			2.276074048123285e-07	1.2468664593637467e-07		7.755660738526968e-08		2.897169666269982e-05	2.108914924032986e-07	5.048099683918433e-05	1.2904305752805235e-07			1.6305172553149116e-07	1.7831589414225776e-05	2.352132738352123e-07			
monodelphis_domestica	6_0,3_0,1_1					0.00025580331467229986																									
mus_musculus	6_0,3_0,1_1	4.99459568968186e-06				4.8505888444356896e-06		2.9527278894715994e-07																							
mus_musculus	6_0,3_0,3_1	4.976304659455035e-06				4.85206890800862e-06	3.6699555832942194e-07																								
bos_taurus	6_0,3_0,3_1					6.526889319472204e-06																3.4090567018239124e-06									
gorilla_gorilla	6_0,3_0,3_1						1.7783786718166543e-06															5.29804944125845e-06									
sus_scrofa	6_0,3_0,3_1																					4.226618322889222e-06									
homo_sapiens	6_0,3_0,3_1			2.8400177710332514e-07		3.2486265614791486e-06	2.0964983358268894e-06					2.3942696554581757e-05								1.9225849097476644e-06		4.761528648398442e-06				2.882864816491254e-07					
gorilla_gorilla	6_0,3_1				9.881872176287477e-08		6.53548154862081e-05					7.189292379034959e-05					4.2474625420838054e-08					0.00012298901534907444						1.7495291186115485e-08			
sus_scrofa	6_0,3_1																	1.1467277311924947e-06				0.00011189464370034515									
mus_musculus	6_0,3_1	0.00011152437477997783			4.034764227758346e-08	0.00020414841731941562	6.863568714567598e-05	6.230255846785076e-06	1.856981948576072e-07		9.283492118962573e-08			1.1812930433652675e-07			7.111603332675966e-09							5.532204236078171e-07							2.598613366711085e-07
